episode_id,category,outcome,failure_mode,supporting_metrics
BOTTOM_LEFT_4,BOTTOM_LEFT,COLLISION,COLLISION,lin_rev=0 ang_rev=12 turn_pct=0.43 dist_red=3.03
BOTTOM_LEFT_5,BOTTOM_LEFT,TIMEOUT,OSCILLATION,lin_rev=1 ang_rev=36 turn_pct=0.09 dist_red=3.35
BOTTOM_LEFT_6,BOTTOM_LEFT,SUCCESS,N/A,lin_rev=0 ang_rev=27 turn_pct=0.49 dist_red=5.69
BOTTOM_LEFT_7,BOTTOM_LEFT,COLLISION,OSCILLATION,lin_rev=4 ang_rev=29 turn_pct=0.23 dist_red=3.13
BOTTOM_LEFT_8,BOTTOM_LEFT,COLLISION,OSCILLATION,lin_rev=3 ang_rev=17 turn_pct=0.46 dist_red=3.79
BOTTOM_LEFT_9,BOTTOM_LEFT,COLLISION,OSCILLATION,lin_rev=2 ang_rev=39 turn_pct=0.22 dist_red=6.23
BOTTOM_LEFT_10,BOTTOM_LEFT,SUCCESS,N/A,lin_rev=2 ang_rev=13 turn_pct=0.43 dist_red=4.49
BOTTOM_RIGHT_1,BOTTOM_RIGHT,SUCCESS,N/A,lin_rev=0 ang_rev=20 turn_pct=0.37 dist_red=2.82
BOTTOM_RIGHT_2,BOTTOM_RIGHT,COLLISION,OSCILLATION,lin_rev=10 ang_rev=26 turn_pct=0.35 dist_red=3.63
BOTTOM_RIGHT_3,BOTTOM_RIGHT,SUCCESS,N/A,lin_rev=0 ang_rev=32 turn_pct=0.31 dist_red=4.86
BOTTOM_RIGHT_4,BOTTOM_RIGHT,COLLISION,OSCILLATION,lin_rev=6 ang_rev=25 turn_pct=0.41 dist_red=3.75
BOTTOM_RIGHT_5,BOTTOM_RIGHT,TIMEOUT,OSCILLATION,lin_rev=1 ang_rev=63 turn_pct=0.10 dist_red=3.13
BOTTOM_RIGHT_6,BOTTOM_RIGHT,SUCCESS,N/A,lin_rev=0 ang_rev=18 turn_pct=0.22 dist_red=6.71
BOTTOM_RIGHT_7,BOTTOM_RIGHT,TIMEOUT,OSCILLATION,lin_rev=3 ang_rev=36 turn_pct=0.10 dist_red=3.38
BOTTOM_RIGHT_8,BOTTOM_RIGHT,SUCCESS,N/A,lin_rev=0 ang_rev=29 turn_pct=0.42 dist_red=4.90
BOTTOM_RIGHT_9,BOTTOM_RIGHT,COLLISION,OSCILLATION,lin_rev=1 ang_rev=30 turn_pct=0.18 dist_red=3.92
BOTTOM_RIGHT_10,BOTTOM_RIGHT,SUCCESS,N/A,lin_rev=2 ang_rev=28 turn_pct=0.56 dist_red=2.86
RANDOM_1,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=26 turn_pct=0.31 dist_red=5.25
RANDOM_2,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=28 turn_pct=0.44 dist_red=2.96
RANDOM_3,RANDOM,COLLISION,OSCILLATION,lin_rev=0 ang_rev=57 turn_pct=0.37 dist_red=5.26
RANDOM_4,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=12 turn_pct=0.32 dist_red=4.09
RANDOM_5,RANDOM,TIMEOUT,OSCILLATION,lin_rev=3 ang_rev=44 turn_pct=0.15 dist_red=3.24
RANDOM_6,RANDOM,SUCCESS,N/A,lin_rev=2 ang_rev=14 turn_pct=0.45 dist_red=4.58
RANDOM_7,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=27 turn_pct=0.28 dist_red=5.49
RANDOM_8,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=0 turn_pct=0.71 dist_red=1.06
RANDOM_9,RANDOM,SUCCESS,N/A,lin_rev=1 ang_rev=2 turn_pct=0.29 dist_red=2.86
RANDOM_10,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=19 turn_pct=0.50 dist_red=6.14
RANDOM_11,RANDOM,COLLISION,COLLISION,lin_rev=1 ang_rev=9 turn_pct=0.42 dist_red=1.06
RANDOM_12,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=6 turn_pct=0.40 dist_red=3.79
RANDOM_13,RANDOM,SUCCESS,N/A,lin_rev=1 ang_rev=23 turn_pct=0.38 dist_red=4.48
RANDOM_14,RANDOM,SUCCESS,N/A,lin_rev=2 ang_rev=19 turn_pct=0.35 dist_red=4.09
RANDOM_15,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=39 turn_pct=0.27 dist_red=5.19
RANDOM_16,RANDOM,SUCCESS,N/A,lin_rev=2 ang_rev=6 turn_pct=0.42 dist_red=2.21
RANDOM_17,RANDOM,SUCCESS,N/A,lin_rev=2 ang_rev=7 turn_pct=0.67 dist_red=1.18
RANDOM_18,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=38 turn_pct=0.35 dist_red=8.06
RANDOM_19,RANDOM,COLLISION,OSCILLATION,lin_rev=2 ang_rev=38 turn_pct=0.25 dist_red=5.73
RANDOM_20,RANDOM,SUCCESS,N/A,lin_rev=0 ang_rev=25 turn_pct=0.18 dist_red=6.68
