scenario_id,category,total_steps,final_dist,min_clearance,max_linear,mean_linear,mean_angular,l20_min_lidar,l20_mean_linear,l20_mean_angular,fallback_count,oscillation,no_turn,q1_bad_start,q2_narrow_passage,q3_turning_collision,q4_speed_during_turn,q5_unsafe_nav2,q6_ppo_deviated,orig_failure_reason,geo_cause,geo_rationale
COMPLEX OBSTACLE_17,COMPLEX OBSTACLE,266,6.5004,0.3,0.3378,0.0366,0.0941,0.3013,0.003,0.0369,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
COMPLEX OBSTACLE_18,COMPLEX OBSTACLE,281,3.7324,0.3001,0.3372,0.2863,0.2704,0.3002,0.2446,0.3987,0,False,False,False,True,False,True,False,True,LATE_OBSTACLE_REACTION,SPEED_DURING_TURN,"High forward velocity during turn: l20_linear=0.245 m/s, l20_angular=0.399 rad/s, max_vel=0.337 m/s. Robot approached curved obstacle at speed it could not brake from."
COMPLEX OBSTACLE_20,COMPLEX OBSTACLE,121,7.8662,0.3,0.3162,0.1089,0.3418,0.3002,-0.0027,0.0566,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
COMPLEX OBSTACLE_23,COMPLEX OBSTACLE,312,7.6463,0.3,0.2776,0.0326,0.0575,0.3,0.001,0.0054,0,False,False,False,False,False,False,False,False,WRONG_LOCAL_MANEUVER,OTHER,"No dominant geometric pattern. min_c=0.300m, max_lin=0.278, l20_lin=0.001, l20_ang=0.005, steps=312."
COMPLEX OBSTACLE_26,COMPLEX OBSTACLE,285,3.2164,0.3,0.34,0.1735,0.1638,0.3002,0.0066,0.032,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
TOP_RIGHT_1,TOP_RIGHT,226,1.7662,0.3005,0.3409,0.2595,0.2859,0.3005,0.2852,0.289,0,False,False,False,True,False,True,False,True,LATE_OBSTACLE_REACTION,SPEED_DURING_TURN,"High forward velocity during turn: l20_linear=0.285 m/s, l20_angular=0.289 rad/s, max_vel=0.341 m/s. Robot approached curved obstacle at speed it could not brake from."
TOP_RIGHT_2,TOP_RIGHT,183,1.3178,0.3001,0.3358,0.2868,0.1926,0.3001,0.2933,0.2453,0,False,False,False,True,False,False,False,True,LATE_OBSTACLE_REACTION,LATE_REACTION,Nav2 was active (fallback=0) but PPO maintained l20_linear=0.293 m/s into obstacle (clearance=0.300m). PPO failed to slow despite Nav2 providing a path. Late braking = LATE_REACTION.
BOTTOM_LEFT_8,BOTTOM_LEFT,369,0.3391,0.3001,0.3361,0.2436,0.2287,0.3006,0.0005,0.0041,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
BOTTOM_RIGHT_9,BOTTOM_RIGHT,152,5.3232,0.3005,0.3338,0.1012,0.3479,0.3009,-0.0038,0.0221,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
RANDOM_4,RANDOM,217,6.8395,0.3001,0.3362,0.1437,0.3009,0.3016,0.0,0.0118,0,False,False,False,True,False,False,False,False,EXCESSIVE_SPEED,NARROW_PASSAGE,min_clearance=0.300m throughout episode. Robot footprint (r=0.105m) was close to wall. Corridor too narrow for reliable passage.
RANDOM_18,RANDOM,184,4.6582,0.3004,0.339,0.2813,0.2018,0.3004,0.2848,0.2639,0,False,False,False,True,False,True,False,True,LATE_OBSTACLE_REACTION,SPEED_DURING_TURN,"High forward velocity during turn: l20_linear=0.285 m/s, l20_angular=0.264 rad/s, max_vel=0.339 m/s. Robot approached curved obstacle at speed it could not brake from."
